ID,gender,eventNum,order,partnerID,match,int_corr,samerace,partnerAge,partnerRace,parterPrefAttractive,partnerPrefSincere,partnerPrefIntelligent,partnerPrefFun,partnerPrefAmbitious,partnerPrefSharedInterests,partnerDecision,pRatingAttractive,pRatingSincere,pRatingIntelligent,pRatingFun,pRatingAmbitious,pRatingSharedInterests,pLike,pChanceYes,pMetBefore,age,field,field_cd,race,imprace,imprelig,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
2,0,1,7,17,0,0.6,1,30,2,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
2,0,1,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
2,0,1,4,19,1,0.11,1,28,2,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
2,0,1,5,20,0,0.39,1,24,2,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,24,law,1,2,2,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3
3,0,1,6,11,0,-0.24,1,27,2,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
3,0,1,5,12,0,-0.14,1,22,2,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
3,0,1,2,13,0,0.09,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
3,0,1,7,14,0,-0.04,1,23,2,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
3,0,1,9,15,0,-0.14,0,24,3,30,10,20,10,10,20,1,6,10,8,6,,,6,1,2,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
3,0,1,8,16,0,-0.3,1,25,2,50,0,30,10,0,10,1,7,6,6,6,6,6,6,7,2,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
3,0,1,3,17,0,-0.26,1,30,2,35,15,25,10,5,10,0,6,3,5,4,5,4,2,2,2,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
3,0,1,4,18,0,0.29,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,4,5,6,4,6,4,5,1,2,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
3,0,1,10,19,0,-0.15,1,28,2,50,0,25,10,0,15,1,7,7,6,8,7,7,7,7,2,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
3,0,1,1,20,0,-0.47,1,24,2,100,0,0,0,0,0,0,5,6,8,5,8,6,5,5,2,25,Economics,2,2,8,4,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8
4,0,1,3,11,0,-0.18,1,27,2,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
4,0,1,2,12,0,-0.18,1,22,2,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
4,0,1,9,13,0,0.05,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
4,0,1,4,14,1,-0.18,1,23,2,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
4,0,1,6,15,0,0.21,0,24,3,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
4,0,1,5,16,0,0.37,1,25,2,50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,2,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
4,0,1,10,17,0,0.35,1,30,2,35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,2,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
4,0,1,1,18,0,0.15,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,5,7,7,2,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
4,0,1,7,19,1,-0.47,1,28,2,50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,2,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
4,0,1,8,20,0,-0.19,1,24,2,100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,2,23,Law,1,2,1,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8
5,0,1,1,11,0,-0.43,1,27,2,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
5,0,1,10,12,0,0,1,22,2,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
5,0,1,7,13,0,-0.17,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
5,0,1,2,14,1,0.08,1,23,2,30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,1,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
5,0,1,4,15,0,-0.16,0,24,3,30,10,20,10,10,20,0,5,9,9,7,9,5,5,7,2,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
5,0,1,3,16,0,0.06,1,25,2,50,0,30,10,0,10,0,5,8,7,7,7,7,6,7,2,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
5,0,1,8,17,0,-0.05,1,30,2,35,15,25,10,5,10,0,2,3,4,4,5,3,3,3,2,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
5,0,1,9,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,5,5,6,5,5,5,6,5,2,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
5,0,1,5,19,1,-0.13,1,28,2,50,0,25,10,0,15,1,5,9,9,9,9,6,7,7,2,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
5,0,1,6,20,0,-0.06,1,24,2,100,0,0,0,0,0,0,3,10,7,7,10,5,4,10,2,21,Law,1,2,8,1,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8
6,0,1,5,11,0,0.33,0,27,2,35,20,20,20,0,5,0,7,9,8,9,8,4,7,4,2,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
6,0,1,4,12,0,0.37,0,22,2,60,0,0,40,0,0,0,6,8,10,6,7,6,7,4,2,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
6,0,1,1,13,0,-0.51,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
6,0,1,6,14,1,0.12,0,23,2,30,5,15,40,5,5,1,6,8,8,7,9,8,7,7,2,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
6,0,1,8,15,0,0.35,0,24,3,30,10,20,10,10,20,1,9,7,9,7,9,6,9,2,1,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
6,0,1,7,16,0,0.19,0,25,2,50,0,30,10,0,10,1,6,6,8,8,8,7,6,6,2,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
6,0,1,2,17,0,0.47,0,30,2,35,15,25,10,5,10,0,5,6,8,4,5,4,3,3,2,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
6,0,1,3,18,0,0.03,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,7,8,5,7,6,2,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
6,0,1,9,19,1,0.46,0,28,2,50,0,25,10,0,15,1,6,7,7,6,6,6,6,6,2,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
6,0,1,10,20,0,0.43,0,24,2,100,0,0,0,0,0,0,7,10,10,6,10,7,6,7,2,23,law,1,4,1,1,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5
7,0,1,2,11,0,0.19,0,27,2,35,20,20,20,0,5,0,7,8,8,8,7,7,7,4,2,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
7,0,1,1,12,0,0.21,0,22,2,60,0,0,40,0,0,1,7,9,10,6,6,5,8,4,1,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
7,0,1,8,13,0,0.52,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
7,0,1,3,14,1,-0.46,0,23,2,30,5,15,40,5,5,1,8,8,9,8,9,9,8,7,1,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
7,0,1,5,15,0,-0.27,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,5,8,4,2,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
7,0,1,4,16,0,0.59,0,25,2,50,0,30,10,0,10,1,8,8,8,6,6,6,7,7,2,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
7,0,1,9,17,0,0.31,0,30,2,35,15,25,10,5,10,0,7,6,5,4,4,3,5,4,2,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
7,0,1,10,18,0,0.08,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,8,7,6,7,7,5,7,5,2,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
7,0,1,6,19,1,-0.34,0,28,2,50,0,25,10,0,15,1,9,7,9,9,9,10,9,9,2,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
7,0,1,7,20,0,-0.16,0,24,2,100,0,0,0,0,0,0,7,6,8,6,8,7,7,7,2,22,Law,1,4,2,4,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7
8,0,1,7,11,0,-0.03,1,27,2,35,20,20,20,0,5,0,8,7,6,6,6,5,7,4,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
8,0,1,6,12,1,-0.11,1,22,2,60,0,0,40,0,0,1,8,8,10,7,6,5,9,4,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
8,0,1,3,13,1,0.42,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
8,0,1,8,14,1,-0.4,1,23,2,30,5,15,40,5,5,1,8,8,8,8,8,7,8,7,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
8,0,1,10,15,1,-0.23,0,24,3,30,10,20,10,10,20,1,9,9,8,9,,7,9,7,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
8,0,1,9,16,1,0.28,1,25,2,50,0,30,10,0,10,1,8,7,7,7,8,7,7,6,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
8,0,1,4,17,0,0.05,1,30,2,35,15,25,10,5,10,0,6,4,7,5,6,4,4,4,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
8,0,1,5,18,1,0.17,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,9,8,8,8,7,5,7,5,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
8,0,1,1,19,1,-0.47,1,28,2,50,0,25,10,0,15,1,8,7,8,10,8,10,8,8,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
8,0,1,2,20,1,-0.21,1,24,2,100,0,0,0,0,0,1,8,10,9,9,8,8,8,8,2,25,Masters in Public Administration,13,2,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8
9,0,1,8,11,0,0.19,0,27,2,35,20,20,20,0,5,0,6,8,7,8,7,5,6,4,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
9,0,1,7,12,1,0.03,0,22,2,60,0,0,40,0,0,1,8,8,10,7,6,5,8,4,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
9,0,1,4,13,1,0.68,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
9,0,1,9,14,1,-0.26,0,23,2,30,5,15,40,5,5,1,7,8,7,8,8,7,7,7,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
9,0,1,1,15,1,-0.01,0,24,3,30,10,20,10,10,20,1,7,9,8,9,7,7,7,8,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
9,0,1,10,16,1,0.42,0,25,2,50,0,30,10,0,10,1,6,6,7,8,7,7,6,5,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
9,0,1,5,17,1,0.21,0,30,2,35,15,25,10,5,10,1,8,6,7,8,6,5,8,4,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
9,0,1,6,18,0,0.1,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,7,7,7,7,6,5,7,5,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
9,0,1,2,19,1,-0.35,0,28,2,50,0,25,10,0,15,1,6,6,6,7,6,6,6,6,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
9,0,1,3,20,0,-0.23,0,24,2,100,0,0,0,0,0,0,5,6,6,6,6,6,6,6,2,26,Masters in Public Administration,13,6,1,1,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7
10,0,1,9,11,0,0.3,1,27,2,35,20,20,20,0,5,0,7,8,7,8,6,5,6,3,2,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
10,0,1,8,12,0,0.65,1,22,2,60,0,0,40,0,0,0,1,1,1,1,1,1,1,1,2,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
10,0,1,5,13,1,-0.15,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
10,0,1,10,14,0,0.17,1,23,2,30,5,15,40,5,5,1,7,8,7,9,8,8,7,7,1,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
10,0,1,2,15,0,0.24,0,24,3,30,10,20,10,10,20,1,6,9,9,7,8,,6,6,2,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
10,0,1,1,16,0,0.15,1,25,2,50,0,30,10,0,10,0,,8,7,7,7,7,6,6,2,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
10,0,1,6,17,0,0.41,1,30,2,35,15,25,10,5,10,0,7,7,4,3,4,4,3,6,2,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
10,0,1,7,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,6,6,6,6,5,7,6,2,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
10,0,1,3,19,1,0.49,1,28,2,50,0,25,10,0,15,1,7,7,7,7,6,6,7,8,2,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
10,0,1,4,20,0,0.08,1,24,2,100,0,0,0,0,0,0,6,6,6,6,6,6,7,7,2,26,Masters of Social Work&Education,13,2,4,4,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9
11,1,1,4,1,0,0.14,0,21,4,15,20,20,15,15,15,1,6,9,7,7,6,5,7,6,2,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
11,1,1,10,2,0,0.29,1,24,2,45,5,25,20,0,5,0,5,7,8,4,6,3,6,4,2,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
11,1,1,6,3,0,-0.24,1,25,2,35,10,35,10,10,0,0,7,9,10,7,8,9,8,7,1,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
11,1,1,3,4,0,-0.18,1,23,2,20,20,20,20,10,10,0,4,10,8,5,8,7,6,7,2,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
11,1,1,1,5,0,-0.43,1,21,2,20,5,25,25,10,15,0,5,8,8,2,2,2,7,5,2,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
11,1,1,5,6,0,0.33,0,23,4,10,25,20,25,5,15,1,6,9,7,6,7,6,6,6,2,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
11,1,1,2,7,0,0.19,0,22,4,15,15,25,20,15,10,0,4,8,8,5,7,4,7,4,2,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
11,1,1,7,8,0,-0.03,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,7,4,7,5,4,5,2,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
11,1,1,8,9,0,0.19,0,26,6,20,10,20,30,10,10,1,8,10,9,8,7,6,5,5,2,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
11,1,1,9,10,0,0.3,1,26,2,15,15,15,40,10,5,0,6,10,10,6,6,,6,3,2,27,Finance,8,2,7,3,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
12,1,1,3,1,0,0.54,0,21,4,15,20,20,15,15,15,1,7,8,7,8,5,6,7,5,1,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
12,1,1,9,2,0,0.18,1,24,2,45,5,25,20,0,5,0,8,5,6,6,9,6,7,3,2,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
12,1,1,5,3,0,-0.14,1,25,2,35,10,35,10,10,0,0,9,7,9,8,9,7,8,7,2,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
12,1,1,2,4,0,-0.18,1,23,2,20,20,20,20,10,10,0,8,7,8,10,7,8,8,1,1,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
12,1,1,10,5,0,0,1,21,2,20,5,25,25,10,15,0,8,6,6,5,5,5,6,4,1,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
12,1,1,4,6,0,0.37,0,23,4,10,25,20,25,5,15,1,6,9,9,6,8,2,7,6,2,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
12,1,1,1,7,0,0.21,0,22,4,15,15,25,20,15,10,0,6,6,8,4,9,4,7,3,1,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
12,1,1,6,8,1,-0.11,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,7,7,9,6,7,8,7,2,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
12,1,1,7,9,1,0.03,0,26,6,20,10,20,30,10,10,1,10,10,10,10,10,10,10,5,2,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
12,1,1,8,10,0,0.65,1,26,2,15,15,15,40,10,5,0,1,1,1,1,1,,1,1,1,22,Law,1,2,1,1,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
13,1,1,10,1,1,0.16,1,21,4,15,20,20,15,15,15,1,5,8,9,8,5,7,7,,1,22,Law,1,4,3,5,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3
13,1,1,6,2,0,0.1,0,24,2,45,5,25,20,0,5,0,5,8,9,6,3,4,6,7,2,22,Law,1,4,3,5,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3
13,1,1,2,3,0,0.09,0,25,2,35,10,35,10,10,0,0,7,9,9,7,9,7,8,7,2,22,Law,1,4,3,5,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3
13,1,1,9,4,0,0.05,0,23,2,20,20,20,20,10,10,0,4,7,8,8,6,7,4,1,2,22,Law,1,4,3,5,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3
13,1,1,7,5,0,-0.17,0,21,2,20,5,25,25,10,15,0,4,6,8,8,6,5,6,5,1,22,Law,1,4,3,5,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3
13,1,1,1,6,0,-0.51,1,23,4,10,25,20,25,5,15,0,4,7,9,4,3,2,6,2,1,22,Law,1,4,3,5,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3
13,1,1,8,7,0,0.52,1,22,4,15,15,25,20,15,10,0,3,6,8,7,8,8,7,8,1,22,Law,1,4,3,5,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3
